20:51:44:448 [ALWAYS]	GUDE Logging Started
20:51:44:448 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:51:44:448 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:51:44:448 [ERROR]	Initialize resume cache pointer failure
20:51:44:448 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:51:44:448 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:51:49:637 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:51:49:637 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:51:49:637 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
